,交通調査基本区間番号,路線／路線名,道路種別,起点側／接続路線等／交通調査基本区間番号,終点側／接続路線等／交通調査基本区間番号,交通量調査単位区間番号,上り・下りの別,区間延長（ｋｍ）,昼間１２時間平均旅行速度（時間帯別交通量加重）／上り（ｋｍ／ｈ）,昼間１２時間平均旅行速度（時間帯別交通量加重）／下り（ｋｍ／ｈ）,時間帯別自動車類交通量（台／時）／７時台,時間帯別自動車類交通量（台／時）／８時台,時間帯別自動車類交通量（台／時）／９時台,時間帯別自動車類交通量（台／時）／１０時台,時間帯別自動車類交通量（台／時）／１１時台,時間帯別自動車類交通量（台／時）／１２時台,時間帯別自動車類交通量（台／時）／１３時台,時間帯別自動車類交通量（台／時）／１４時台,時間帯別自動車類交通量（台／時）／１５時台,時間帯別自動車類交通量（台／時）／１６時台,時間帯別自動車類交通量（台／時）／１７時台,時間帯別自動車類交通量（台／時）／１８時台,時間帯別自動車類交通量（台／時）／１９時台,時間帯別自動車類交通量（台／時）／２０時台,時間帯別自動車類交通量（台／時）／２１時台,時間帯別自動車類交通量（台／時）／２２時台,時間帯別自動車類交通量（台／時）／２３時台,時間帯別自動車類交通量（台／時）／０時台,時間帯別自動車類交通量（台／時）／１時台,時間帯別自動車類交通量（台／時）／２時台,時間帯別自動車類交通量（台／時）／３時台,時間帯別自動車類交通量（台／時）／４時台,時間帯別自動車類交通量（台／時）／５時台,時間帯別自動車類交通量（台／時）／６時台
0,17110800010,北陸自動車道,1,16110800290,17301590400,10,1,8.1,86.9,90.5,1318,1326,1215,1098,991,973,879,954,891,925,950,823,598,515,483,407,287,279,292,294,270,278,336,835
1,17110800010,北陸自動車道,1,16110800290,17301590400,10,2,8.1,86.9,90.5,1020,1123,1017,960,858,1048,846,989,1075,1176,1372,1149,814,565,504,356,319,305,260,222,224,284,316,573
2,17110800020,北陸自動車道,1,17301590400,17300080120,20,1,3.2,93.5,91.9,1208,1239,1097,1000,925,850,785,842,825,830,851,780,585,467,439,368,300,253,288,283,278,282,303,762
3,17110800020,北陸自動車道,1,17301590400,17300080120,20,2,3.2,93.5,91.9,1071,1147,949,896,729,921,770,884,969,1024,1252,1064,754,524,455,325,300,298,257,218,214,256,306,540
4,17110800030,北陸自動車道,1,17300080120,17300080220,30,1,7.6,86.1,90.6,1114,1079,879,758,714,641,650,646,668,707,842,761,509,426,372,306,270,241,282,270,250,238,281,572
5,17110800030,北陸自動車道,1,17300080120,17300080220,30,2,7.6,86.1,90.6,1155,1061,913,788,590,696,613,693,759,792,990,884,554,447,370,298,259,253,246,195,187,223,263,514
6,17110800040,北陸自動車道,1,17300080220,0,40,1,2.7,92.2,93.3,1249,1315,1055,939,926,850,785,852,939,1080,1315,1238,778,551,430,341,289,275,316,308,262,261,290,506
7,17110800040,北陸自動車道,1,17300080220,0,40,2,2.7,92.2,93.3,1460,1441,1241,1180,990,988,870,958,994,1012,1044,971,609,503,479,369,284,272,267,191,190,227,269,723
8,17110800045,北陸自動車道,1,0,17400080350,40,1,0.1,94.7,95.8,1249,1315,1055,939,926,850,785,852,939,1080,1315,1238,778,551,430,341,289,275,316,308,262,261,290,506
9,17110800045,北陸自動車道,1,0,17400080350,40,2,0.1,94.7,95.8,1460,1441,1241,1180,990,988,870,958,994,1012,1044,971,609,503,479,369,284,272,267,191,190,227,269,723
10,17110800050,北陸自動車道,1,17400080350,17400250160,41,1,5.2,95.1,91.9,1212,1328,1110,935,1010,907,808,869,969,1141,1342,1271,871,523,461,352,302,257,265,350,322,275,324,488
11,17110800050,北陸自動車道,1,17400080350,17400250160,41,2,5.2,95.1,91.9,1470,1489,1281,1184,1040,1013,895,974,1020,1050,997,963,568,509,488,386,274,270,264,198,186,225,266,733
12,17110800060,北陸自動車道,1,17400250160,17400580090,42,1,4.4,93.7,95.0,1313,1253,1089,980,955,882,826,908,969,1218,1329,1230,797,542,468,347,301,286,357,318,268,267,308,513
13,17110800060,北陸自動車道,1,17400250160,17400580090,42,2,4.4,93.7,95.0,1486,1482,1307,1186,1060,1016,920,979,995,1054,1005,979,594,514,481,384,273,278,271,195,193,215,283,713
